;Unnamed: 0;en;no;initial_translation;finetuned_translation;initial_translation_bleu;finetuned_translation_bleu;google_translate;google_translation_bleu
17;17;The bike illustrated here is 9.8mm outside-to-outside, making it 4.9mm to the middle.;Sykkelen illustrert her er 9,8 mm utenfor - til - utenfor, noe som gjør det 4,9 mm til midten.;Sykkelen som er illustrert her er 9,8 mm utenfor, noe som gjør den 4,9 mm til midten.;Sykkelen som er illustrert her er 9,8 mm utenfor, noe som gjør det 4,9 mm til midten.;52.8;66.5;Sykkelen som er illustrert her er 9,8 mm utvendig til utsiden, noe som gjør den 4,9 mm til midten.;40.1
18;18;The second number is the amount of possible compression.;Det andre tallet er mengden av mulig kompresjon.;Det andre tallet er mengden av mulig komprimering.;Det andre tallet er mengden av mulig kompresjon.;43.4;61.3;Det andre tallet er mengden mulig komprimering.;26.0
19;19;Once you have the appropriate spokes for your rim and hub, you are ready to lace and build the wheel  see How to Build a Wheel for the complete process.;Når du har riktig eiker for din felg og nav, er du klar til å bygge hjul se How to Build a Wheel for hele prosessen.;Når du har de riktige eiker for felgen og navet, er du klar til å blonder og bygge hjulet se Hvordan bygge et hjul for hele prosessen.;Når du har riktig eiker for felg og nav, er du klar til å snøre og bygge hjulet se How to Build a Wheel for hele prosessen.;26.6;63.7;Når du har de riktige eikene for felgen og navet, er du klar til å snøre og bygge hjulet, se Hvordan bygge et hjul for hele prosessen.;24.7
20;20;The lubrication of nipple threads should be done routinely because corrosion and rust in these threads will make the wheel un-true-able.;Smøring av nippel gjenger bør gjøres rutinemessig fordi korrosjon og rust i disse gjengene vil gjøre hjulet umulig å rette.;Smøring av nippeltråder bør gjøres rutinemessig fordi korrosjon og rust i disse trådene vil gjøre hjulet un-true-able.;Smøring av nippel gjenger bør gjøres rutinemessig fordi korrosjon og rust i disse gjengene vil gjøre hjulet un-true-able.;46.5;71.7;Smøring av nippelgjenger bør gjøres rutinemessig fordi korrosjon og rust i disse gjengene vil gjøre hjulet usannsynlig.;60.9
21;21;Road shifters sometimes have options for running the housing in front, behind or out the side of the lever body.;Girhendler til landevei har noen ganger mulighet for å kjøre strømpe foran, bak eller under girhendel kroppen.;Veiskiftere har noen ganger muligheter for å kjøre huset foran, bak eller ut siden av spaken.;Girshiftere har noen ganger muligheter for å styre strømpen foran, bak eller ut av siden på hendelen.;21.5;17.9;Road shifters har noen ganger muligheter for å kjøre huset foran, bak eller ut på siden av spaken.;19.5
22;22;Any remaining paint indicates a lower area than a fresh cut.;Eventuell gjenværende maling indikerer et lavere område enn et friskt kutt.;Eventuell gjenværende maling indikerer et lavere område enn et nytt kutt.;Eventuelle gjenværende maling indikerer et lavere område enn et nytt kutt.;52.0;52.0;Eventuell gjenværende maling indikerer et lavere område enn et ferskt kutt.;52.0
23;23;The DAG-2.2 and DAG-3 (as well as newer DAG-2 models) come with 2 O-rings for the slider.;DAG-2.2 og DAG-3 (samt nyere DAG-2 modeller) kommer med 2 O - ringer for glidebryteren.;DAG-2.2 og DAG-3 (samt nyere DAG-2 modeller) kommer med 2 O-ringer for glidebryteren.;DAG-2.2 og DAG-3 (samt nyere DAG-2 modeller) kommer med 2 O-ringer for glidebryteren.;61.7;61.7;DAG-2.2 og DAG-3 (samt nyere DAG-2-modeller) kommer med 2 O-ringer for glideren.;44.1
24;24;If arms will not fully open when gently squeezed, the adjustment may be too tight.;Hvis armene ikke åpnes helt når de klemmes forsiktig, kan justeringen være for stram.;Hvis armene ikke åpnes helt når de klemmes forsiktig, kan justeringen bli for stram.;Hvis armene ikke åpnes helt når de klemmes forsiktig, kan justeringen være for stram.;61.7;77.0;Hvis armene ikke åpnes helt når de klemmes forsiktig, kan justeringen være for stram.;77.0
25;25;For non-adhesive tapes, overlap so approximately half the tape is on bar.;For ikke-klebende tape, overlapper så omtrent halvparten av tapen er på styret.;For ikke-klebende bånd, overlapper slik at omtrent halvparten av båndet er på bar.;For ikke-klebende taper, overlapper slik at omtrent halvparten av tapen er på styret.;12.5;43.5;For ikke-klebende tape, overlapp slik at omtrent halvparten av tapen er på stangen.;34.6
26;26;A bent tooth will make a noise and sometimes catch the chain.;En bøyd tann vil lage støy og noen ganger fange kjedet.;En bøyd tann vil lage en lyd og noen ganger fange kjeden.;En bøyd tann vil lage støy og noen ganger fange kjedet.;31.5;70.1;En bøyd tann vil lage en lyd og noen ganger fange kjedet.;45.8
27;27;Do this for the rest of the spokes as you move forward as well.;Gjør dette for resten av eikene som du beveger deg fremover også.;Gjør dette for resten av eiker som du går videre også.;Gjør dette for resten av eikene når du beveger deg fremover også.;22.2;53.1;Gjør dette for resten av eikene mens du går fremover også.;33.9
28;28;After verifying that the wheel is properly seated, its okay to start truing the rotor, but its always good to know other things that lead to rotor rub:;Etter å ha bekreftet at hjulet er riktig satt på, er greit å begynne å rette bremseskiven, men det er alltid godt å vite andre grunner for at bremseskiven gnisser:;Etter å ha bekreftet at hjulet er riktig sittende, er det greit å begynne å truing rotoren, men det er alltid godt å vite andre ting som fører til rotoren gni:;Etter å ha verifisert at hjulet er riktig satt, er det greit å begynne å rette bremseskiven, men det er alltid godt å vite andre ting som fører til at bremseskiven gnisser:;44.8;56.0;Etter å ha verifisert at hjulet sitter riktig, er det greit å begynne å tømme rotoren, men det er alltid greit å vite andre ting som fører til rotorgnidning:;24.2
29;29;There are many different tire and wheel sizes available.;Det finnes mange forskjellige dekk og hjul størrelser tilgjengelig.;Det finnes mange forskjellige dekk- og hjulstørrelser.;Det er mange forskjellige dekk- og hjul størrelser tilgjengelig.;15.9;33.3;"
Det er mange forskjellige dekk- og hjulstørrelser tilgjengelig.";8.5
30;30;Secure the air can eyelet in the soft jaws of a vise, (the AV-5 works well) and clamping between the holes in the jaws.;Sikre luftkammer boltfeste i de myke kjevene av en skrustikke, (AV-5 fungerer bra) og klemme mellom hullene i kjevene.;Sikre luften kan øyet i de myke kjever av en skrustikke, (AV-5 fungerer bra) og klemme mellom hullene i kjeven.;Sikre luften kan øyet i de myke kjevene til en skrustikke, ( AV-5 fungerer bra) og klemme mellom hullene i kjevene.;55.0;62.2;Fest luftbeholderen i de myke kjevene på en skrustikke (AV-5 fungerer bra) og klem mellom hullene i kjevene.;46.5
31;31;This article will review the removal and installation of cassette cogs on derailleur-type bicycles.;Denne artikkelen vil gjennomgå demontering og montering av kassett på sykler med bakgir.;Denne artikkelen vil gjennomgå fjerning og installasjon av kassett tannhjul på girkasse-type sykler.;Denne artikkelen vil gjennomgå fjerning og installasjon av kassett på sykler av girtype.;12.4;22.0;Denne artikkelen vil gjennomgå fjerning og installasjon av kassetthjul på sykler av girtype.;12.0
32;32;Many headset cups are held in place by a press fit.;Mange styrelager skåler holdes på plass av press-fit.;Mange headsetkopper holdes på plass av en pressepassform.;Mange styrelager holder skålene på plass ved hjelp av en press-fit.;22.4;8.2;Mange hodesettkopper holdes på plass av en presspasning.;22.4
33;33;This bleeding procedure will work on SRAM drop bar and flat bar brakes that feature Bleeding Edge.;Denne lufteprosedyren vil fungere på SRAM landeveistyre og flatt styre med bremser som har Bleeding Edge.;Denne blødningsprosedyren vil fungere på SRAM slipp bar og flat bar bremser som har Bleeding Edge.;Denne lufteprosedyren vil fungere på SRAM drop bar og flate bremser som har Bleeding Edge.;36.7;44.9;Denne blødningsprosedyren vil fungere på SRAM drop bar og flat bar bremser som har Bleeding Edge.;36.7
34;34;For precision dishing work, the TS-2, TS-2.2, TS-2.3 and TS-4.2 are intended to be used with a dishing tool, such as the Park Tool WAG-4 or WAG-5.;For nøyaktig sentrerings arbeid er TS-2, TS-2.2, TS-2.3 og TS-4.2 ment å brukes med et sentreringsverktøy, for eksempel Park Tool WAG-4 eller WAG-5.;For presisjonsdiskarbeid er TS-2, TS-2.2, TS-2.3 og TS-4.2 ment å brukes med et diskverktøy, for eksempel Park Tool WAG-4 eller WAG-5.;For presisjons sentreringsarbeid er TS-2, TS-2.2, TS-2.3 og TS-4.2 ment å brukes med et sentreringsverktøy, for eksempel Park Tool WAG-4 eller WAG-5.;71.3;78.1;For presisjonsoppvaskarbeid er TS-2, TS-2.2, TS-2.3 og TS-4.2 beregnet på bruk med et oppvaskverktøy, for eksempel Park Tool WAG-4 eller WAG-5.;54.5
35;35;When dealing with a carbon steerer tube, it is critical to have the steerer tube go all the way through the stem, in order to reduce stress on the end of the steerer tube.;Når du arbeider med styrerør i karbon, er det kritisk at styrerøret går helt igjennom stemmet for å redusere stress på enden av styrerøret.;Når du arbeider med et karbonstyrerør, er det viktig å ha styrerøret gå hele veien gjennom stammen, for å redusere stress på enden av styrerøret.;Når det gjelder en karbon styrerør, er det viktig å ha styrerøret helt gjennom stemmet, for å redusere stresset på enden av styrerøret.;34.2;21.8;Når du har å gjøre med et karbonstyrerør, er det avgjørende å la styrerøret gå hele veien gjennom stammen, for å redusere belastningen på enden av styrerøret.;18.4
36;36;The pulleys may be removed for cleaning.;Trinsehjul kan fjernes for rengjøring.;Remskivene kan fjernes for rengjøring.;Trinnene kan fjernes for rengjøring.;44.6;44.6;"
Remskivene kan fjernes for rengjøring.";35.1
37;37;The first method for checking chain wear is to simply lift the chain off the front chainring.;Den første metoden for å sjekke kjede slitasje er å bare løfte kjedet av krankdrevet.;Den første metoden for å kontrollere kjedeslitasje er å bare løfte kjedet av den fremre kjederingen.;Den første metoden for å kontrollere kjede slitasje er å ganske enkelt løfte kjedet av det fremre drevet.;36.7;27.2;Den første metoden for å kontrollere kjedeslitasjen er å ganske enkelt løfte kjedet av det fremre krankdrevet.;20.0
38;38;Praxis models may use an internal sleeve that must be removed for replacement.;Praxis modeller kan bruke en intern hylse som må fjernes for utskifting.;Praxis modeller kan bruke en innvendig hylse som må fjernes for utskifting.;Praxis modeller kan bruke en intern hylse som må fjernes for utskifting.;53.1;72.2;Praxis-modeller kan bruke en innvendig hylse som må fjernes for utskifting.;49.2
39;39;When truing wheels, generally begin first by correcting the lateral trueness.;Når du retter et hjul, begynner du vanligvis først ved å korrigere den laterale strammingen.;Når du truer hjul, begynner du vanligvis først ved å korrigere den laterale sannheten.;Når du retter hjul, begynner du vanligvis først ved å korrigere den sideveis rettheten.;56.3;52.9;Når du trimmer hjul, begynner du vanligvis først med å korrigere den laterale korrektheten.;39.7
40;40;Because tire beads can be a tight fit in the rim, it is commonly necessary to tire levers to pry tire bead up and over rim sidewall.;Fordi dekk kant kan sitte tett i felgen, er det vanligvis nødvendig å bruke dekkspaker for å få dekk kanten over felgens sidekant.;Fordi dekk perler kan være en tett passform i felgen, er det ofte nødvendig å dekk spaker å pry dekk perle opp og over felgen sidevegg.;Fordi dekk kuler kan være en tett passform i felgen, er det vanligvis nødvendig å dekk spaker å vri dekk kanten opp og over felg sideveggen.;15.4;26.7;Fordi dekkvulster kan passe tett i felgen, er det vanligvis nødvendig å dekkspaker for å lirke dekkvulstene opp og over felgens sidevegg.;37.6
41;41;Measured in millimeters, the OD of the pedal is typically 14.2mm.;Målt i millimeter er pedals ytterdiameter typisk 14,2 mm.;Målt i millimeter er pedalens OD typisk 14,2 mm.;Målt i millimeter, er OD av pedal vanligvis 14,2 mm.;28.0;12.9;Målt i millimeter er pedalens ytre diameter vanligvis 14,2 mm.;17.8
42;42;Squeeze lever with force to settle in cable and housing and to test security of cable pinch bolt.;Klem hendel med kraft til at wiren setter seg i strømpen og for å teste sikkerheten til wire festebolten.;Klem spaken med kraft til å bosette seg i kabel og hus og for å teste sikkerheten til kabel klemme bolt.;Klem spaken med kraft for å bosette seg i wiren og strømpen og for å teste sikkerheten til wiren klembolt.;26.2;30.1;Klem sammen spaken med kraft for å sette seg inn i kabelen og huset og for å teste sikkerheten til kabelklemmebolten.;22.6
43;43;The cleat may be moved under the sole of the shoe forward, backward, rotated, and slid left-to-right (Figure 7).;Cleats kan beveges under sålen av skoen forover, bakover, roteres og skyves fra venstre til høyre (figur 7).;Klemmen kan beveges under sålen av skoen forover, bakover, roteres og skyves fra venstre mot høyre (fig. 7).;Kuttingen kan beveges under sålens fremover, bakover, roteres og skyves fra venstre til høyre (figur 7).;60.7;66.0;Klossen kan flyttes under sålen på skoen forover, bakover, roteres og skyves fra venstre til høyre (Figur 7).;55.6
44;44;If the chain does not shift to the smallest cog, it is likely being stopped either by the limit screw, or cable setting.;Hvis kjedet ikke skifter til det minste drevet, blir den sannsynligvis stoppet enten av stoppeskruen eller wire innstillingen.;Hvis kjeden ikke skifter til den minste tannhjul, er det sannsynlig å bli stoppet enten av grenseskruen eller kabelinnstillingen.;Hvis kjedet ikke girer til det minste tannhjulet, blir det sannsynligvis stoppet enten av stoppeskruen eller wire innstillingen.;11.7;45.6;Hvis kjedet ikke skifter til det minste tannhjulet, blir det sannsynligvis stoppet enten av grenseskruen eller kabelinnstillingen.;36.2
45;45;This is especially the case for the square-type spindles because the exact fit inside the square fitting of cranks varies between brands and even between arms of the same model.;Dette er spesielt tilfelle for firkantet type akslinger fordi den nøyaktige passformen inne i firkantet montering av krank varierer mellom merker og selv mellom armer av samme modell.;Dette er spesielt tilfelle for firkantet type spindler fordi den nøyaktige passformen inne i firkantet montering av kranker varierer mellom merker og til og med mellom armer av samme modell.;Dette er spesielt tilfelle for firkantede akslinger fordi den nøyaktige passformen inne i firkantfestet til krankarm varierer mellom merker og til og med mellom armer av samme modell.;56.8;46.9;Dette er spesielt tilfellet for firkantede spindler fordi den nøyaktige passformen inne i den firkantede monteringen av sveivene varierer mellom merker og til og med mellom armer av samme modell.;36.4
46;46;If the front shift lever has multiple clicks, such as some twist grip style shifters, it is shifted similar to friction levers.;Om fremre girhendel har flere klikk, sånn som enkelte gripshifts, er giringen lik spaker med friksjon.;Hvis den fremre girspaken har flere klikk, for eksempel noen vri grep stil shifters, er det forskjøvet lik friksjon spaker.;Hvis girhendelen fram har flere klikk, for eksempel noen girshiftere med vrigrep, gires den på samme måte som friksjonshendler.;12.5;11.2;Hvis den fremre girspaken har flere klikk, for eksempel noen girskiftere med vrigrep, skiftes den på samme måte som friksjonsspaker.;11.1
47;47;The shifter fits a 22.2mm diameter flat handlebar end.;Girhendlen passer et flatt styre med 22,2 mm diameter.;Skifteren passer til en 22,2 mm diameter flat styreende.;Girshifteren passer en 22,2 mm diameter flat styre ende.;13.1;13.7;Skifteren passer til en flat styreende med en diameter på 22,2 mm.;6.4
48;48;Press and release to end pairing session.;Trykk og slipp for å avslutte sammenkoblingsøkten.;Trykk og slipp for å avslutte sammenkoblingsøkten.;Trykk og slipp for å avslutte parringsøkten.;57.1;36.7;Trykk og slipp for å avslutte sammenkoblingsøkten.;57.1
49;49;Lubricate the inner surface of the air-can with a small amount RockShox suspension fluid.;Smør den indre overflaten av luftkammeret med en liten mengde RockShox demper væske.;Smør den indre overflaten av luftbeholderen med en liten mengde RockShox suspensjonsvæske.;Smør den indre overflaten av luftkammeret med en liten mengde RockShox suspensjonsvæske.;39.4;59.7;"
Smør innsiden av luftboksen med en liten mengde RockShox suspensjonsvæske.";24.9
50;50;The bead will generally have a square shape instead of the rounded shape commonly found on inner tube systems.;Kant vil generelt ha en firkantet form i stedet for den avrundede formen som vanligvis finnes på indre rørsystemer.;Perlen vil generelt ha en firkantet form i stedet for den avrundede form som vanligvis finnes på indre rørsystemer.;Kanten vil generelt ha en kvadratisk form i stedet for den avrundede form som vanligvis finnes på slange systemer.;69.1;42.0;Perlen vil generelt ha en firkantet form i stedet for den avrundede formen som vanligvis finnes på indre rørsystemer.;81.3
51;51;Mount the bike in a repair stand to relieve any pressure on the shock from the weight of the bike.;Monter sykkelen i et reparasjonsstativ for å avlaste ethvert trykk på demper fra sykkelens vekt.;Monter sykkelen i et reparasjonsstativ for å avlaste ethvert trykk på støtet fra sykkelens vekt.;Monter sykkelen i et reparasjonsstativ for å lette presset på støtet fra sykkelens vekt.;61.7;41.2;Monter sykkelen i et reparasjonsstativ for å avlaste trykket på støtet fra vekten av sykkelen.;33.7
52;52;Inside the freehub mechanism will be bearings and a clutch system, usually ratcheting teeth and pawls.;Inne i boss mekanismen vil det være et lager og et clutch system, vanligvis med tenner og paler.;Inne i freehub mekanismen vil være kulelager og en clutch system, vanligvis skralle tenner og pawls.;Innvendig vil boss mekanismen være lager og et clutch system, vanligvis splinter og paler.;17.0;40.3;Inne i frinavsmekanismen vil det være lagre og et clutchsystem, vanligvis skralletenner og paler.;15.5
53;53;As the wheel spins, there is a radial deviation where a section of rim seems to move inward, or toward the hub.;Når hjulet spinner, er det et radialt avvik hvor en del av felgen ser ut til å bevege seg innover, eller mot navet.;Når hjulet spinner, er det et radialt avvik der en del av kanten ser ut til å bevege seg innover, eller mot navet.;Når hjulet spinner, er det et radialt avvik hvor en del av felgen ser ut til å bevege seg innover, eller mot navet.;66.2;85.4;Når hjulet spinner, er det et radialt avvik der en del av felgen ser ut til å bevege seg innover, eller mot navet.;76.0
54;54;Left hand threads slope up to the left, while right hand threads slope up to the right, as seen below.;Venstre gjenger skråner opp til venstre, mens høyre gjenger skråner opp til høyre, som sett nedenfor.;Venstre tråder skråner opp til venstre, mens høyre tråder skråner opp til høyre, som sett nedenfor.;Venstregjenger skråner opp til venstre, mens høyregjenger skråner opp til høyre, som vist nedenfor.;62.6;50.2;Venstre tråder skråner opp til venstre, mens høyre tråder skråner opp til høyre, som vist nedenfor.;50.4
55;55;If an arm is too close to the rim, tighten that side centering screw to help pull the pad away from the rim.;Hvis en arm er for nær felgen, stram den sidesentrerende skruen for å hjelpe til med å trekke bremseklossen bort fra felgen.;Hvis en arm er for nær felgen, stram den sidesentrerende skruen for å hjelpe til med å trekke puten bort fra felgen.;Hvis en arm er for nær felgen, stram den side sentreringsskruen for å hjelpe til med å trekke bremseklossen bort fra felgen.;74.1;70.1;Hvis en arm er for nær felgen, stram den sentreringsskruen på siden for å hjelpe til med å trekke puten vekk fra felgen.;53.3
56;56;The moving pad flexes the rotor toward the fixed pad when the brake is operated.;Den bevegelige bremseklossen bøyer bremseskiven mot den faste bremseklossen under bremsing.;Den bevegelige puten bøyer rotoren mot den faste puten når bremsen betjenes.;Den bevegelige bremseklossen bøyer bremseskiven mot bremseklossen når den bremses.;10.8;29.9;Den bevegelige puten bøyer rotoren mot den faste puten når bremsen betjenes.;10.8
57;57;The set up of the wheel on the frame may seem unusual.;Oppsettet av hjul på ramme kan virke uvanlig.;Oppsettet av hjulet på rammen kan virke uvanlig.;Settet av hjulet på rammen kan virke uvanlig.;23.5;23.5;Oppsettet av hjulet på rammen kan virke uvanlig.;23.5
58;58;Use this point on the rim as a constant reference when checking the hanger.;Bruk dette punktet på felgen som en konstant referanse når du sjekker girøret.;Bruk dette punktet på felgen som en konstant referanse når du sjekker hengeren.;Bruk dette punktet på felgen som en konstant referanse når du sjekker girøret.;62.4;74.0;Bruk dette punktet på felgen som en konstant referanse når du sjekker opphenget.;62.4
59;59;This is accomplished with two J-bend spokes with standard slotted nipples, acting as measuring rods.;Dette oppnås med to J-bend eiker med standard slissede nippler, som fungerer som målestenger.;Dette oppnås med to J-bøyde eiker med standard slissede nipler, som fungerer som målestenger.;Dette oppnås med to J - bøy eiker med standard slissede nippler, som virker som målestenger.;44.5;39.9;Dette oppnås med to J-bend eiker med standard slissede nipler, som fungerer som målestaver.;50.9
60;60;The brake housing and brake wire are the same as with rim caliper brakes.;Bremsestrømpe ogbremsewire er tilsvarende som for felg bremser.;Bremsehuset og bremsetråden er de samme som med felgkaliperbremser.;Bremsestrømpen og bremsewiren er de samme som med felgkalipperbremser.;4.1;4.1;Bremsehuset og bremsewiren er de samme som med felgkaliperbremser.;4.1
61;61;Rear shocks are available in various designs.;Bakdempere er tilgjengelig i ulike design.;Bakre støt er tilgjengelig i ulike design.;Bakre støt er tilgjengelig i forskjellige design.;46.2;17.5;Bakdempere finnes i ulike utførelser.;10.6
62;62;Turn the right pedal body clockwise while holding the lockring.;Vri høyre pedal kropp med klokken mens du holder låseringen.;Vri høyre pedalkropp med klokken mens du holder låseringen.;Vri høyre pedal kroppen med klokken mens du holder låseringen.;48.6;47.9;Vri høyre pedalhus med klokken mens du holder låseringen.;48.6
63;63;You may need to proceed through the drive train step by step, part by part to eliminate potential problems.;Du må kanskje gå gjennom drivverket trinn for trinn, del for del for å eliminere potensielle problemer.;Du må kanskje gå gjennom drivverket trinn for trinn, del for del for å eliminere potensielle problemer.;Du må kanskje fortsette gjennom drivverket trinn for trinn, del for del for å eliminere potensielle problemer.;80.4;69.0;Du må kanskje fortsette gjennom drivverket trinn for trinn, del for del for å eliminere potensielle problemer.;69.0
64;64;Press fit bottom bracket systems use a frame shell with a smooth bore, without any threads.;Press fit kranklager systemer bruker et krankhus med plane flater, uten gjenger.;Trykk passer bunn brakett systemer bruke en ramme skall med en jevn boring, uten noen tråder.;Press fit kranklager systemer bruker en ramme skallet med en glatt boring, uten gjenger.;4.6;26.1;Press-fit bunnbrakettsystemer bruker et rammeskall med en jevn boring, uten noen gjenger.;8.2
